,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,nome,data_lancamento,Popularidade Musica,Artista,ano_lancamento,mes_lancamento,dia_semana_lancamento,Popularidade Artista,Seguidores,Estilos
176,0.766,0.295,0,-7.893,0,0.0464,0.947,4.44e-05,0.119,0.805,136.016,audio_features,6Y46tOTRhkBamosyuWa6YX,spotify:track:6Y46tOTRhkBamosyuWa6YX,https://api.spotify.com/v1/tracks/6Y46tOTRhkBamosyuWa6YX,https://api.spotify.com/v1/audio-analysis/6Y46tOTRhkBamosyuWa6YX,188107,4,LA FAMA (with The Weeknd),2022-03-18,76,ROSALÍA,2022.0,3.0,4.0,79,5453108,['r&b en espanol']
177,0.758,0.621,9,-8.033,1,0.125,0.0628,0.0,0.0809,0.92,79.949,audio_features,78kygHp1dvW1kncYjBgbe1,spotify:track:78kygHp1dvW1kncYjBgbe1,https://api.spotify.com/v1/tracks/78kygHp1dvW1kncYjBgbe1,https://api.spotify.com/v1/audio-analysis/78kygHp1dvW1kncYjBgbe1,142500,4,Mujeriego,2021-12-17,83,Ryan Castro,2021.0,12.0,4.0,77,759213,"['trap colombiano', 'trap latino']"
178,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,audio_features,4jPy3l0RUwlUI9T5XHBW2m,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m,https://api.spotify.com/v1/audio-analysis/4jPy3l0RUwlUI9T5XHBW2m,140533,4,Mood (feat. iann dior),2021-03-26,85,24kGoldn,2021.0,3.0,4.0,75,1738234,"['cali rap', 'pop rap']"
179,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,48q0vSHcJdhK3IiXH8C5WJ,spotify:track:48q0vSHcJdhK3IiXH8C5WJ,https://api.spotify.com/v1/tracks/48q0vSHcJdhK3IiXH8C5WJ,https://api.spotify.com/v1/audio-analysis/48q0vSHcJdhK3IiXH8C5WJ,161124,4,Why'd You Only Call Me When You're High?,2013-01-01,63,Arctic Monkeys,2013.0,1.0,1.0,82,14770606,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
180,0.77,0.787,11,-3.748,0,0.0583,0.198,0.0,0.262,0.513,119.986,audio_features,0bI7K9Becu2dtXK1Q3cZNB,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,https://api.spotify.com/v1/tracks/0bI7K9Becu2dtXK1Q3cZNB,https://api.spotify.com/v1/audio-analysis/0bI7K9Becu2dtXK1Q3cZNB,140500,4,Don't Be Shy,2021-08-12,85,Tiësto,2021.0,8.0,3.0,82,6409736,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
181,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,audio_features,50kpGaPAhYJ3sGmk6vplg0,spotify:track:50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,233720,4,Love Yourself,2015-11-13,84,Justin Bieber,2015.0,11.0,4.0,90,61989325,"['canadian pop', 'pop']"
182,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,3rq5w4bQGigXOfdN30ATJt,spotify:track:3rq5w4bQGigXOfdN30ATJt,https://api.spotify.com/v1/tracks/3rq5w4bQGigXOfdN30ATJt,https://api.spotify.com/v1/audio-analysis/3rq5w4bQGigXOfdN30ATJt,272394,4,Do I Wanna Know?,2013-01-01,63,Arctic Monkeys,2013.0,1.0,1.0,82,14770606,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
183,0.594,0.679,7,-3.702,1,0.345,0.484,7.83e-06,0.114,0.66,106.726,audio_features,1dp8aQANyTRKssDeAYPiZe,spotify:track:1dp8aQANyTRKssDeAYPiZe,https://api.spotify.com/v1/tracks/1dp8aQANyTRKssDeAYPiZe,https://api.spotify.com/v1/audio-analysis/1dp8aQANyTRKssDeAYPiZe,152613,5,Scrape It Off (feat. Lil Uzi Vert & Don Toliver),2022-04-22,77,Pusha T,2022.0,4.0,4.0,74,2480827,"['gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
184,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,audio_features,161DnLWsx1i3u1JT05lzqU,spotify:track:161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/tracks/161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/audio-analysis/161DnLWsx1i3u1JT05lzqU,217867,4,Talking to the Moon,2010-10-05,82,Bruno Mars,2010.0,10.0,1.0,86,41162901,"['dance pop', 'pop']"
185,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4,Starboy,2016-11-25,85,The Weeknd,2016.0,11.0,4.0,91,45873723,"['canadian contemporary r&b', 'canadian pop', 'pop']"
186,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,audio_features,48QmG1dfvMuYLxMPt7KSRA,spotify:track:48QmG1dfvMuYLxMPt7KSRA,https://api.spotify.com/v1/tracks/48QmG1dfvMuYLxMPt7KSRA,https://api.spotify.com/v1/audio-analysis/48QmG1dfvMuYLxMPt7KSRA,221176,4,No Lie,2018-06-29,84,Sean Paul,2018.0,6.0,4.0,79,3921381,"['dance pop', 'dancehall', 'pop', 'pop rap']"
187,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,audio_features,35mvY5S1H3J2QZyna3TFe0,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4,positions,2020-10-30,85,Ariana Grande,2020.0,10.0,4.0,87,80498764,"['dance pop', 'pop']"
188,0.601,0.271,0,-8.688,1,0.0403,0.937,0.0,0.144,0.411,145.494,audio_features,0B7wvvmu9EISAwZnOpjhNI,spotify:track:0B7wvvmu9EISAwZnOpjhNI,https://api.spotify.com/v1/tracks/0B7wvvmu9EISAwZnOpjhNI,https://api.spotify.com/v1/audio-analysis/0B7wvvmu9EISAwZnOpjhNI,213827,4,When I Was Your Man,2012-12-05,53,Bruno Mars,2012.0,12.0,2.0,86,41162901,"['dance pop', 'pop']"
189,0.659,0.688,6,-4.649,1,0.0673,0.207,0.0,0.113,0.632,153.979,audio_features,0G2zPzWqVjR68iNPmx2TBe,spotify:track:0G2zPzWqVjR68iNPmx2TBe,https://api.spotify.com/v1/tracks/0G2zPzWqVjR68iNPmx2TBe,https://api.spotify.com/v1/audio-analysis/0G2zPzWqVjR68iNPmx2TBe,273474,4,Volando - Remix,2021-07-08,84,Mora,2021.0,7.0,3.0,79,487369,"['latin', 'reggaeton', 'trap latino']"
190,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,6fxVffaTuwjgEk5h9QyRjy,spotify:track:6fxVffaTuwjgEk5h9QyRjy,https://api.spotify.com/v1/tracks/6fxVffaTuwjgEk5h9QyRjy,https://api.spotify.com/v1/audio-analysis/6fxVffaTuwjgEk5h9QyRjy,258987,4,Photograph,2013-01-01,65,Ed Sheeran,2013.0,1.0,1.0,90,98575692,"['pop', 'uk pop']"
191,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,audio_features,5lAnYvAIkSDNXqfo7DyFUm,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,https://api.spotify.com/v1/tracks/5lAnYvAIkSDNXqfo7DyFUm,https://api.spotify.com/v1/audio-analysis/5lAnYvAIkSDNXqfo7DyFUm,174253,4,Ain't Shit,2021-06-25,83,Doja Cat,2021.0,6.0,4.0,88,19631832,"['dance pop', 'pop']"
192,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,2Foc5Q5nqNiosCNqttzHof,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,248413,4,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2013-04-19,84,Daft Punk,2013.0,4.0,4.0,78,8985395,"['electro', 'filter house']"
